id,geoname,latitude,longitude,country
30.2/ 5295,"Sonora, Alamos",23.634501,-102.552784,Mexico
30.2/ 5301,"Sonora, Río Mayo",23.634501,-102.552784,Mexico
30.2/ 5628,"Sonora, Agiabampo",23.634501,-102.552784,Mexico
30.2/ 5283,"Sinaloa, Mouth Of Rio Sinaloa",23.634501,-102.552784,Mexico
30.2/ 5634,"Sinaloa, Mouth Of Rio Fuerte",23.634501,-102.552784,Mexico
30.2/ 5672,"Sinaloa, Guamuchil",23.634501,-102.552784,Mexico
MCAA/ 0984 K,"Sonora, Cumpas",23.634501,-102.552784,Mexico
30.2/ 5754,"Sonora, Piedra",23.634501,-102.552784,Mexico
30.2/ 6096,North Mexico,23.634501,-102.552784,Mexico
30.2/ 8429,"Oaxaca, Quiengola, Base Of Quiengola, Salazar",23.634501,-102.552784,Mexico
30.2/ 8469,"Chiapas, Southwest Of Tonala, Paredon",23.634501,-102.552784,Mexico
30.2/ 8497,"Oaxaca, Mixteca, Paraje Satandu, Ixtapa San Felipe",23.634501,-102.552784,Mexico
65 / 3778,"Chiapas, Yaxchilán",23.634501,-102.552784,Mexico
65 / 1662,Santa Catarina,23.634501,-102.552784,Mexico
65 / 1090,"Chihuahua, Baborigame",23.634501,-102.552784,Mexico
65 / 1249,"Chihuahua, Nararachic",23.634501,-102.552784,Mexico
65 / 986,"Chihuahua, Tecorichic",23.634501,-102.552784,Mexico
65 / 2149,"Department Guatemala, Mexico",15.783471,-90.230759,Guatemala
65 / 6024 C,"Sololá, Sololá",15.783471,-90.230759,Guatemala
65 / 6028,"Baja Verapaz, Rabinal",15.783471,-90.230759,Guatemala
65 / 2568,"Durango, Santa Maria De Ocotan",23.634501,-102.552784,Mexico
65 / 6103,"Huehuetenango, Jacaltenango",15.783471,-90.230759,Guatemala
65 / 3666,"Yucatan, Santa Cruz Del Bravo",23.634501,-102.552784,Mexico
65 / 3675,"Yucatan, Peto",23.634501,-102.552784,Mexico
65 / 4453,Juarez,23.634501,-102.552784,Mexico
65 / 5835,Sololá,15.783471,-90.230759,Guatemala
65 / 4717 E,Intibuca,15.199999,-86.241905,Honduras
65 / 4861,"Michoacán, Santa Clara Del Cobre",23.634501,-102.552784,Mexico
65 / 5040,"Guanacaste, Nicoya, Guaitil",9.748917,-83.753428,Costa Rica
65 / 5132,"Hidalgo, Pahuatlan",23.634501,-102.552784,Mexico
65 / 5247,"Oaxaca, Ixtlan De Juarez, San Francisco Cajonas",23.634501,-102.552784,Mexico
65 / 5528,West Highlands,15.783471,-90.230759,Guatemala
65 / 5547,"Guerrero, Costa Chica, Tlacuachistlahuaca",23.634501,-102.552784,Mexico
65 / 6062,"Sacatepéquez, Santa María De Jesus",15.783471,-90.230759,Guatemala
MCAA/ 0145 E,"Colima, Manzanillo",23.634501,-102.552784,Mexico
MCAA/ 0179,"Puebla, Acatzingo",23.634501,-102.552784,Mexico
MCAA/ 0476 I,Tlanhualpa,23.634501,-102.552784,Mexico
MCAA/ 0765 E,"Oaxaca, Juchitan, Laguna Zope",23.634501,-102.552784,Mexico
1 / 312,Jonuta,23.634501,-102.552784,Mexico
30 / 198,"Oaxaca, Copala",23.634501,-102.552784,Mexico
30 / 458,"Oaxaca, Teposcolula",23.634501,-102.552784,Mexico
30 / 725,Santiago Tlatelolco,23.634501,-102.552784,Mexico
30 / 3640,"Michoacán, Cheranistico",23.634501,-102.552784,Mexico
30 / 2050,"Michoacán, Pueblo Cherán",23.634501,-102.552784,Mexico
30.2/ 6051,"Michoacan, Tzintzuntzan",23.634501,-102.552784,Mexico
30 / 3922,"Sonora, Cuchuta",23.634501,-102.552784,Mexico
30 / 5768 D,"Guerrero, Coacoyula, Guayaho",23.634501,-102.552784,Mexico
30 / 5842,"Jalisco, Pueblo Amititlán Tequila",23.634501,-102.552784,Mexico
30 /10734,"Oaxaca, Hacienda Nazareno",23.634501,-102.552784,Mexico
65 / 2007,"Isthmus Of Tehuantepec, Minatitlán",23.634501,-102.552784,Mexico
30 / 9483,"Jalisco, Omeca",23.634501,-102.552784,Mexico
30 / 9482,"Jalisco, Ocatlan, Bella Vista",23.634501,-102.552784,Mexico
30 /10714,"Oaxaca, San Miguel Albarradas",23.634501,-102.552784,Mexico
30 / 9706,"Jalisco, Teocuitatlan",23.634501,-102.552784,Mexico
30 / 9711,"Jalisco, Ahualco",23.634501,-102.552784,Mexico
30 /11280,"Jalisco, Totoate, South Totoate, Banco De L'Eseudida",23.634501,-102.552784,Mexico
30 /11326,"Jalisco, Totoate, South Totoate, Banco De Las Casas",23.634501,-102.552784,Mexico
30.2/ 8563,"Oaxaca, Miahuatlan",23.634501,-102.552784,Mexico
30 /11558,"Oaxaca, Nochixtlan",23.634501,-102.552784,Mexico
30 /11719,"Jalisco, Taul",23.634501,-102.552784,Mexico
30 /11756,"Zacatecas, La Quemada Ruin",23.634501,-102.552784,Mexico
30.0/ 1285,"Highlands Of Costa Rica, Various Locales, Cartago And San Jose",9.748917,-83.753428,Costa Rica
30.0/ 4625,Tonacatepeque,23.634501,-102.552784,Mexico
30.0/ 6544,Finca Miraflores,15.783471,-90.230759,Guatemala
30.0/ 6569 C,"Xochimilco, Ixtayopan",23.634501,-102.552784,Mexico
30.1/ 1585,"Utila Island, Byron'S Cave",15.199999,-86.241905,Honduras
30.1/ 1705,"Bonacca Island, Mangrove Bight",15.199999,-86.241905,Honduras
30.1/ 2154,Puerto Castilla,15.199999,-86.241905,Honduras
30.1/ 7086,"Atzcapotzalco, Cahualtongo San Bartolito",23.634501,-102.552784,Mexico
30.1/ 9443 A,"Tlalteloco, Consolidated Rolling Mills",23.634501,-102.552784,Mexico
30.2/ 4129,"Veracruz, Cerro Cebadilla, On Nahuatlan",23.634501,-102.552784,Mexico
30.2/ 4394,"Veracruz, Panuco, Las Piedras",23.634501,-102.552784,Mexico
30.2/ 4226,"Veracruz, Topila, Cerro La Puerta (Cavvola Puerta, Cerrols Puerta, Carro La Puerta)",23.634501,-102.552784,Mexico
30.2/ 5705,"Sinaloa, Island Of Macapule",23.634501,-102.552784,Mexico
30.2/ 5665,"Sinaloa, Amole",23.634501,-102.552784,Mexico
30.2/ 5277,"Sonora, Mouth Of Sonora River",23.634501,-102.552784,Mexico
30.2/ 5374,"Sonora, Pueblo De Alamos",23.634501,-102.552784,Mexico
30.2/ 5568,"Sonora, Batacosa",23.634501,-102.552784,Mexico
30.2/ 5557,"Sonora, Empalme",23.634501,-102.552784,Mexico
30.2/ 5716,"Sinaloa, Mouth Of Sinaloa River, Rosales",23.634501,-102.552784,Mexico
30.2/ 5724,"Sinaloa, Estero De Yavaros",23.634501,-102.552784,Mexico
MCAA/ 0474 C,"Veracruz, Orizaba",23.634501,-102.552784,Mexico
30.2/ 6082,"Sonora, Chinobampo",23.634501,-102.552784,Mexico
30.2/ 6137,Santa Ana,13.794185,-88.89653,El Salvador
30.2/ 7612,"Veracruz, Chila, El Caracol",23.634501,-102.552784,Mexico
30.2/ 8480,"Oaxaca, Astata, Huamalula)",23.634501,-102.552784,Mexico
30.2/ 8516,"Tlatilco, Brickyard",23.634501,-102.552784,Mexico
30.2/ 9275,"Esquintla, Tiquisate",15.783471,-90.230759,Guatemala
30.2/ 9362,Tepexpan,23.634501,-102.552784,Mexico
30.3/ 1007,Palmillas,23.634501,-102.552784,Mexico
30.3/ 1058 D,Puebla Region,23.634501,-102.552784,Mexico
65 / 1002,"Chihuahua, Cavorachic",23.634501,-102.552784,Mexico
65 / 1085,"Chihuahua, Barranca De Cobre",23.634501,-102.552784,Mexico
65 / 1068,"Chihuahua, Yoquibo",23.634501,-102.552784,Mexico
65 / 1262,"Chihuahua, Pueblo Churu Urique",23.634501,-102.552784,Mexico
65 / 2541,Rio Yaqui,23.634501,-102.552784,Mexico
65 / 3056,Sierra Santa Rosa,23.634501,-102.552784,Mexico
MCAA/ 1020,Nayarít,23.634501,-102.552784,Mexico
65 / 3375,Southern Mexico,23.634501,-102.552784,Mexico
65 / 3396,West Of Mexico City,23.634501,-102.552784,Mexico
65 / 3449,Chilpanzinco,23.634501,-102.552784,Mexico
65 / 3632,"El Peten, San Benito",15.783471,-90.230759,Guatemala
65 / 3686,"Yucatan, Isla Mujeres",23.634501,-102.552784,Mexico
65 / 4005,Rama Key,12.865416,-85.207229,Nicaragua
65 / 4716,"Veracruz, Metlaltoyuca",23.634501,-102.552784,Mexico
65 / 4741,"Michoacán, Huancito",23.634501,-102.552784,Mexico
65 / 4930,Uraden,23.634501,-102.552784,Mexico
MCAE/ 0102,"Queretaro, Salamca",23.634501,-102.552784,Mexico
65 / 5310,"Sacatepéquez, San Antonio",15.783471,-90.230759,Guatemala
65 / 5757,Todos Santos,15.783471,-90.230759,Guatemala
65 / 5720 B,"Oaxaca, Ojitlan",23.634501,-102.552784,Mexico
65 / 5787,"Oaxaca, San Andrés Chicahuastla",23.634501,-102.552784,Mexico
